"codice";"descrizione";"prezzo";"punti"
"0000021313219";INTERMIT.C/SPINA2PRESE;5.99;0.29950000000000000000
"0011210000018";TABASCO ml60EUROFOOD        .;3.49;0.17450000000000000000
"0013600000721";DOLCIF.x40BUST.gr40TRUVIA;2.99;0.14950000000000000000
"0070177010768";THE TWINING EARL GREY25x12.;3.89;0.19450000000000000000
"0070177010775";THE TWIN.ENGL.BREAK25ff NERO;3.89;0.19450000000000000000
"0070177010782";THE TWINING LEM.SCENTED25x12.;4.39;0.21950000000000000000
"0074904060040";ANANAS ORSERO673;2.25;0.11250000000000000000
"0077330346085";BISC.DANESI LATTA Gr454ROYAL;3.29;0.16450000000000000000
"0080432402931";WHISKY Cl70CHIVAS           .;26.79;1.3395000000000000
"0080432402993";WHISKY Cl70GLEN GRANT5Y;17.99;0.89950000000000000000
"0128574087316";LIMONI RETE kg10075;1.89;0.09450000000000000000
"0192995403031";SUPER MARIO KART RACERS W5;12.90;0.64500000000000000000
"0606707407182";AMARO AMARAVIGGHIA CL.50;16.79;0.83950000000000000000
"0606707765473";AMARAVIGGHIA PISTACCHIO  CL.50;19.90;0.99500000000000000000
"0645760220505";ORIGANO gr100GIARDINA;1.99;0.09950000000000000000
"0650414272908";ORIGANO A RAMETTI GIARDINA G40;1.19;0.05950000000000000000
"0657968273641";EFFERV.GRAN.VET.Gr250VIRTUS;1.59;0.07950000000000000000
"0657968450110";LAMPADINA LED PLUS10WATT;1.99;0.09950000000000000000
"0685071087787";AMARO ZAGARA DI MORO CL.50;16.79;0.83950000000000000000
"0701197419315";BASILICO VASCH.2633;0.79;0.03950000000000000000
"0701197419377";PEPERONCINO PICCANTE Gr120JAL;1.39;0.06950000000000000000
"0701197419407";SALVIA VASCH.GR.50;0.89;0.04450000000000000000
"0701197419414";ROSMARINO  GR.50;0.89;0.04450000000000000000
"0701197419421";ALLORO FOGLIE.GR.30;0.89;0.04450000000000000000
"0701197419438";BASILICO VAS0;1.39;0.06950000000000000000
"0701197419506";MENTA VASO;1.49;0.07450000000000000000
"0701197419537";ROSMARINO VASO;1.39;0.06950000000000000000
"0701197419575";PREZZEMOLO VASO;1.45;0.07250000000000000000
"0701197419605";AROMI MISTI ARROSTO VASCH.50g;0.89;0.04450000000000000000
"0701197419629";MENTA VASCHETTA GR30;0.99;0.04950000000000000000
"0705632608036";FUNGHI CREMINI350gr;1.99;0.09950000000000000000
"0705632609057";FUNGHI CARDOCELLI AFFETTATI;3.49;0.17450000000000000000
"0723830000100";BIRRA LAGUNITAS cl35,56,2;2.69;0.13450000000000000000
"0800440430210";LATTE DI MANDORLA Lt1CONDORE.;3.59;0.17950000000000000000
"0801029200002";CAVOLI DI BRUXELLES060;1.69;0.08450000000000000000
"0806891015693";SAPONE ECOLOG.BUCATO40LAV.OR;2.49;0.12450000000000000000
"0806891066220";MIELE EUCALIP.CORLEO.GR400MAN;5.99;0.29950000000000000000
"0806891244727";BIRRA BIONDA TIMILI CL.33;2.89;0.14450000000000000000
"0806891244734";BIRRA D.MALTO TIMILI CL.33;2.99;0.14950000000000000000
"0806891244758";BIRRA BIONDA TIMILI CL.66;4.39;0.21950000000000000000
"0807609037297";FETTE BISC.x36ARM.Gr315BARI;1.65;0.08250000000000000000
"0853222006394";GIN MALFY ROSA cl70;29.90;1.4950000000000000
"0856320001018";VINO B.POUILLY CL.75RAMBARD;22.00;1.1000000000000000
"0883314343403";SET6BICCHIERI VETRO CL31;2.99;0.14950000000000000000
"0883314406627";CALICE LA CAVE48CL  LUMINARC;2.20;0.11000000000000000000
"0883314512946";INSALATIERA ALTA CM24LUMINARC;2.99;0.14950000000000000000
"0883314727463";PIATTO PIANO27CM.VETRO TEMPE;0.99;0.04950000000000000000
"0883314809954";INSALATIERA/COPPA ALTA NOIR24;2.50;0.12500000000000000000
"0883314890129";INSALATIERA COSMOS VETRO23x11;3.99;0.19950000000000000000
"0887961812985";BARBIE DREAM;16.90;0.84500000000000000000
"1023690000005";BIRRA DREHER cl33x6BOTT.4,7°;4.10;0.20500000000000000000
"1046710015636";SUCCOSO FRUTTA MIX ML400S.BEN;0.79;0.03950000000000000000
"1100900290002";BISC.PAVESINI Gr200;2.59;0.12950000000000000000
"1103000230008";OMOG.AGNELLO Gr80x2PLASMON  .;2.79;0.13950000000000000000
"1107100080006";OLIVE VERDI SNOCC.Gr290SACLA.;1.99;0.09950000000000000000
"1108640060008";TONNO&FAGIOLI gr160X2RIO Mpa.;3.89;0.19450000000000000000
"1110080170001";THE LIMONE LT1,50LIPTON    .;1.29;0.06450000000000000000
"1110080180000";THE PESCA LT1,5LIPTON      .;1.29;0.06450000000000000000
"1110500310000";ACQUA NAT.LT.1FIUGGI        .;1.35;0.06750000000000000000
"1110500340007";ACQUA NAT.LT.1,5PANNA       .;0.50;0.02500000000000000000
"1111220420000";SPUMANTE MARTINI CL75GRA.AUGU;4.79;0.23950000000000000000
"1122100100004";DEODO.GLADE ESS.OIL RELAX.RIC;3.49;0.17450000000000000000
"1131630140008";PASTA DI FISSAN ml100A.PROTE.;4.99;0.24950000000000000000
"1302381520009";ARBRE MAGIQUE FRUIT MISTO    .;1.59;0.07950000000000000000
"1304370000004";SUPER ATTAK Gr5.;5.69;0.28450000000000000000
"1304370430009";SUPER ATTAK Gr3.;3.99;0.19950000000000000000
"1304370450007";SUPER ATTAK POWER GEL Gr3;4.49;0.22450000000000000000
"1520000000002";ACQUA NAT.LT.2MANGIATORELLA;0.67;0.03350000000000000000
"1564177000007";COCA COLA Cl90ZERO;1.25;0.06250000000000000000
"1690000000002";ACQUA NAT.LT.2ROVERELLA;0.22;0.01100000000000000000
"1800754101355";FAZZOLETTI3Vx10BRAVO;1.25;0.06250000000000000000
"1803402833073";CAFFE'BORBONE NOBILE CIALDAx15;3.09;0.15450000000000000000
"2090660000005";KIWI CESTINO CAT.I°;1.99;0.09950000000000000000
"2200020001508";MOLLICA AR.PANA.ERBA CIP.Gr250;1.99;0.09950000000000000000
"2510140000863";BIO MELANZANA TONDA;2.59;0.12950000000000000000
"2510910000864";BIO ZUCCA BUTTERNUT;3.39;0.16950000000000000000
"2510960001545";BIO CETRIOLI;2.19;0.10950000000000000000
"2511780001036";BIO CIPOLLA BIANCA;2.09;0.10450000000000000000
"2533000001893";BIO POMODORO DATTERINO;2.89;0.14450000000000000000
"2960000001309";PANGRATTATO GR.500PALERMITANA;1.40;0.07000000000000000000
"3010470147829";FRISK.JUNIOR Kg1,5.;6.19;0.30950000000000000000
"3010470150249";FRISK.SECCO xCANE Kg1,5.;5.69;0.28450000000000000000
"3010470151413";FRISK.CROCC.MA/FEG/VE Kg2padr.;6.39;0.31950000000000000000
"3010470153707";FRISK.CROCC.MAN/POL.VERD.Gr400;2.29;0.11450000000000000000
"3010470153714";FRISK.CROCC.SALM/TONN.Gr400.;2.29;0.11450000000000000000
"3010470153967";FRISK.CROCC.CONIG.Gr400padre .;2.29;0.11450000000000000000
"3010470159051";FRISK.VITALITY CON/POL/VER KG2;6.39;0.31950000000000000000
"3011932000805";MARTINI ROSSO LT1.;9.29;0.46450000000000000000
"3011932000829";MARTINI BIANCO LT1.;9.29;0.46450000000000000000
"3013010004439";BACARDI RHUM cl70CARTA BLANC.;14.89;0.74450000000000000000
"3014230000201";DEOD.SPRAY ml150ORIGIN.DOVE .;2.99;0.14950000000000000000
"3014260003593";KIT DA VIAGGIO ORAL B (SP+DEN);3.69;0.18450000000000000000
